epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.4474
1,2026,size_merlin,1,r2,0.402
1,2026,size_merlin,2,r2,0.1677
1,2026,size_merlin,3,r2,0.131
1,2026,size_merlin,4,r2,0.1877
1,2026,size_merlin,5,r2,0.0567
1,2026,size_merlin,mean,r2,0.2321
2,2026,size_merlin,0,r2,0.5879
2,2026,size_merlin,1,r2,0.5325
2,2026,size_merlin,2,r2,0.254
2,2026,size_merlin,3,r2,0.2409
2,2026,size_merlin,4,r2,0.2589
2,2026,size_merlin,5,r2,0.0921
2,2026,size_merlin,mean,r2,0.3277
3,2026,size_merlin,0,r2,0.5911
3,2026,size_merlin,1,r2,0.5453
3,2026,size_merlin,2,r2,0.3044
3,2026,size_merlin,3,r2,0.2545
3,2026,size_merlin,4,r2,0.0188
3,2026,size_merlin,5,r2,-0.0191
3,2026,size_merlin,mean,r2,0.2825
4,2026,size_merlin,0,r2,0.6093
4,2026,size_merlin,1,r2,0.576
4,2026,size_merlin,2,r2,0.3349
4,2026,size_merlin,3,r2,0.2734
4,2026,size_merlin,4,r2,0.3372
4,2026,size_merlin,5,r2,0.1111
4,2026,size_merlin,mean,r2,0.3737
5,2026,size_merlin,0,r2,0.6272
5,2026,size_merlin,1,r2,0.5709
5,2026,size_merlin,2,r2,0.3593
5,2026,size_merlin,3,r2,0.2477
5,2026,size_merlin,4,r2,0.3289
5,2026,size_merlin,5,r2,0.1309
5,2026,size_merlin,mean,r2,0.3775
6,2026,size_merlin,0,r2,0.6259
6,2026,size_merlin,1,r2,0.5791
6,2026,size_merlin,2,r2,0.3781
6,2026,size_merlin,3,r2,0.3319
6,2026,size_merlin,4,r2,0.3821
6,2026,size_merlin,5,r2,0.147
6,2026,size_merlin,mean,r2,0.4074
7,2026,size_merlin,0,r2,0.6212
7,2026,size_merlin,1,r2,0.565
7,2026,size_merlin,2,r2,0.3996
7,2026,size_merlin,3,r2,0.3441
7,2026,size_merlin,4,r2,0.3737
7,2026,size_merlin,5,r2,0.1413
7,2026,size_merlin,mean,r2,0.4075
