epoch,seed,family,target,metric,score
17,2026,density,mean,r2,0.9319
18,2026,density,0,r2,0.8913
18,2026,density,1,r2,0.9206
18,2026,density,2,r2,0.9387
18,2026,density,3,r2,0.923
18,2026,density,mean,r2,0.9184
19,2026,density,0,r2,0.877
19,2026,density,1,r2,0.9385
19,2026,density,2,r2,0.9519
19,2026,density,3,r2,0.9279
19,2026,density,mean,r2,0.9238
20,2026,density,0,r2,0.9014
20,2026,density,1,r2,0.934
20,2026,density,2,r2,0.9665
20,2026,density,3,r2,0.9449
20,2026,density,mean,r2,0.9367
1,2027,density,0,r2,0.8444
1,2027,density,1,r2,0.7894
1,2027,density,2,r2,0.9293
1,2027,density,3,r2,0.9164
1,2027,density,mean,r2,0.8698
2,2027,density,0,r2,0.8469
2,2027,density,1,r2,0.827
2,2027,density,2,r2,0.9419
2,2027,density,3,r2,0.9071
2,2027,density,mean,r2,0.8807
3,2027,density,0,r2,0.8273
3,2027,density,1,r2,0.8689
3,2027,density,2,r2,0.9559
3,2027,density,3,r2,0.9272
3,2027,density,mean,r2,0.8948
4,2027,density,0,r2,0.8576
4,2027,density,1,r2,0.875
4,2027,density,2,r2,0.9346
4,2027,density,3,r2,0.9408
4,2027,density,mean,r2,0.902
5,2027,density,0,r2,0.8651
5,2027,density,1,r2,0.8745
5,2027,density,2,r2,0.9433
5,2027,density,3,r2,0.9298
5,2027,density,mean,r2,0.9032
6,2027,density,0,r2,0.8539
6,2027,density,1,r2,0.8555
6,2027,density,2,r2,0.9503
6,2027,density,3,r2,0.9413
6,2027,density,mean,r2,0.9003
7,2027,density,0,r2,0.8814
7,2027,density,1,r2,0.9104
7,2027,density,2,r2,0.9581
7,2027,density,3,r2,0.9413
7,2027,density,mean,r2,0.9228
8,2027,density,0,r2,0.8764
8,2027,density,1,r2,0.9084
8,2027,density,2,r2,0.9632
8,2027,density,3,r2,0.9382
8,2027,density,mean,r2,0.9215
9,2027,density,0,r2,0.8778
9,2027,density,1,r2,0.8984
9,2027,density,2,r2,0.9485
9,2027,density,3,r2,0.9219
9,2027,density,mean,r2,0.9117
10,2027,density,0,r2,0.8775
10,2027,density,1,r2,0.9066
10,2027,density,2,r2,0.9574
10,2027,density,3,r2,0.9486
10,2027,density,mean,r2,0.9225
11,2027,density,0,r2,0.8578
11,2027,density,1,r2,0.9178
11,2027,density,2,r2,0.9604
11,2027,density,3,r2,0.9476
11,2027,density,mean,r2,0.9209
12,2027,density,0,r2,0.8725
12,2027,density,1,r2,0.9008
12,2027,density,2,r2,0.9671
12,2027,density,3,r2,0.9541
12,2027,density,mean,r2,0.9236
13,2027,density,0,r2,0.8774
13,2027,density,1,r2,0.9244
13,2027,density,2,r2,0.9499
13,2027,density,3,r2,0.94
13,2027,density,mean,r2,0.923
14,2027,density,0,r2,0.8391
14,2027,density,1,r2,0.9237
14,2027,density,2,r2,0.9638
14,2027,density,3,r2,0.9388
14,2027,density,mean,r2,0.9163
15,2027,density,0,r2,0.8874
15,2027,density,1,r2,0.9281
15,2027,density,2,r2,0.9648
15,2027,density,3,r2,0.9495
15,2027,density,mean,r2,0.9325
