epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9246
1,2026,disease,Arterial wall calcification,auroc,0.9317
1,2026,disease,Cardiomegaly,auroc,0.9315
1,2026,disease,Pericardial effusion,auroc,0.8483
1,2026,disease,Coronary artery wall calcification,auroc,0.9352
1,2026,disease,Hiatal hernia,auroc,0.7118
1,2026,disease,Lymphadenopathy,auroc,0.7521
1,2026,disease,Emphysema,auroc,0.805
1,2026,disease,Atelectasis,auroc,0.8165
1,2026,disease,Lung nodule,auroc,0.7384
1,2026,disease,Lung opacity,auroc,0.8704
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7359
1,2026,disease,Pleural effusion,auroc,0.9655
1,2026,disease,Mosaic attenuation pattern,auroc,0.8886
1,2026,disease,Peribronchial thickening,auroc,0.8169
1,2026,disease,Consolidation,auroc,0.9223
1,2026,disease,Bronchiectasis,auroc,0.7918
1,2026,disease,Interlobular septal thickening,auroc,0.8797
1,2026,disease,macro,auroc,0.8481
1,2026,disease,micro,auroc,0.8556
2,2026,disease,Medical material,auroc,0.9265
2,2026,disease,Arterial wall calcification,auroc,0.9317
2,2026,disease,Cardiomegaly,auroc,0.9297
2,2026,disease,Pericardial effusion,auroc,0.856
2,2026,disease,Coronary artery wall calcification,auroc,0.9336
2,2026,disease,Hiatal hernia,auroc,0.711
2,2026,disease,Lymphadenopathy,auroc,0.7569
2,2026,disease,Emphysema,auroc,0.8059
2,2026,disease,Atelectasis,auroc,0.8145
2,2026,disease,Lung nodule,auroc,0.7386
2,2026,disease,Lung opacity,auroc,0.8684
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7453
2,2026,disease,Pleural effusion,auroc,0.9676
2,2026,disease,Mosaic attenuation pattern,auroc,0.8866
2,2026,disease,Peribronchial thickening,auroc,0.8133
2,2026,disease,Consolidation,auroc,0.9241
2,2026,disease,Bronchiectasis,auroc,0.7918
2,2026,disease,Interlobular septal thickening,auroc,0.8737
2,2026,disease,macro,auroc,0.8486
2,2026,disease,micro,auroc,0.8592
3,2026,disease,Medical material,auroc,0.9272
3,2026,disease,Arterial wall calcification,auroc,0.9312
3,2026,disease,Cardiomegaly,auroc,0.9304
3,2026,disease,Pericardial effusion,auroc,0.8446
3,2026,disease,Coronary artery wall calcification,auroc,0.9335
3,2026,disease,Hiatal hernia,auroc,0.7187
3,2026,disease,Lymphadenopathy,auroc,0.7536
3,2026,disease,Emphysema,auroc,0.7995
3,2026,disease,Atelectasis,auroc,0.8093
3,2026,disease,Lung nodule,auroc,0.7375
3,2026,disease,Lung opacity,auroc,0.8695
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.748
3,2026,disease,Pleural effusion,auroc,0.9644
3,2026,disease,Mosaic attenuation pattern,auroc,0.8873
3,2026,disease,Peribronchial thickening,auroc,0.8016
3,2026,disease,Consolidation,auroc,0.9267
3,2026,disease,Bronchiectasis,auroc,0.7922
3,2026,disease,Interlobular septal thickening,auroc,0.8756
3,2026,disease,macro,auroc,0.8473
3,2026,disease,micro,auroc,0.8596
4,2026,disease,Medical material,auroc,0.9304
4,2026,disease,Arterial wall calcification,auroc,0.9311
4,2026,disease,Cardiomegaly,auroc,0.9348
4,2026,disease,Pericardial effusion,auroc,0.8552
4,2026,disease,Coronary artery wall calcification,auroc,0.9336
4,2026,disease,Hiatal hernia,auroc,0.7179
4,2026,disease,Lymphadenopathy,auroc,0.7557
4,2026,disease,Emphysema,auroc,0.8049
