epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.1474
1,2026,size_merlin,1,r2,0.0599
1,2026,size_merlin,2,r2,0.189
1,2026,size_merlin,3,r2,0.0225
1,2026,size_merlin,4,r2,0.245
1,2026,size_merlin,5,r2,0.051
1,2026,size_merlin,mean,r2,0.1191
2,2026,size_merlin,0,r2,0.2161
2,2026,size_merlin,1,r2,0.1232
2,2026,size_merlin,2,r2,0.2461
2,2026,size_merlin,3,r2,0.0717
2,2026,size_merlin,4,r2,0.21
2,2026,size_merlin,5,r2,0.0494
2,2026,size_merlin,mean,r2,0.1527
3,2026,size_merlin,0,r2,0.1997
3,2026,size_merlin,1,r2,0.1367
3,2026,size_merlin,2,r2,0.2362
3,2026,size_merlin,3,r2,0.1649
3,2026,size_merlin,4,r2,0.2302
3,2026,size_merlin,5,r2,0.0733
3,2026,size_merlin,mean,r2,0.1735
4,2026,size_merlin,0,r2,0.3671
4,2026,size_merlin,1,r2,0.2942
4,2026,size_merlin,2,r2,0.2811
4,2026,size_merlin,3,r2,0.2263
4,2026,size_merlin,4,r2,0.3761
4,2026,size_merlin,5,r2,0.1162
4,2026,size_merlin,mean,r2,0.2769
5,2026,size_merlin,0,r2,0.6619
5,2026,size_merlin,1,r2,0.5291
5,2026,size_merlin,2,r2,0.2909
5,2026,size_merlin,3,r2,0.1623
5,2026,size_merlin,4,r2,0.309
5,2026,size_merlin,5,r2,0.1013
5,2026,size_merlin,mean,r2,0.3424
6,2026,size_merlin,0,r2,0.71
6,2026,size_merlin,1,r2,0.5875
6,2026,size_merlin,2,r2,0.2407
6,2026,size_merlin,3,r2,0.2245
6,2026,size_merlin,4,r2,0.4079
6,2026,size_merlin,5,r2,0.1423
6,2026,size_merlin,mean,r2,0.3855
7,2026,size_merlin,0,r2,0.7378
7,2026,size_merlin,1,r2,0.6209
7,2026,size_merlin,2,r2,0.3048
7,2026,size_merlin,3,r2,0.2486
7,2026,size_merlin,4,r2,0.4492
7,2026,size_merlin,5,r2,0.1536
7,2026,size_merlin,mean,r2,0.4192
8,2026,size_merlin,0,r2,0.7442
8,2026,size_merlin,1,r2,0.6282
8,2026,size_merlin,2,r2,0.3372
8,2026,size_merlin,3,r2,0.2573
8,2026,size_merlin,4,r2,0.483
8,2026,size_merlin,5,r2,0.1705
8,2026,size_merlin,mean,r2,0.4367
9,2026,size_merlin,0,r2,0.724
9,2026,size_merlin,1,r2,0.6292
9,2026,size_merlin,2,r2,0.3357
9,2026,size_merlin,3,r2,0.29
9,2026,size_merlin,4,r2,0.4581
9,2026,size_merlin,5,r2,0.178
9,2026,size_merlin,mean,r2,0.4358
10,2026,size_merlin,0,r2,0.7682
10,2026,size_merlin,1,r2,0.6542
10,2026,size_merlin,2,r2,0.3671
10,2026,size_merlin,3,r2,0.2693
10,2026,size_merlin,4,r2,0.4496
10,2026,size_merlin,5,r2,0.1826
10,2026,size_merlin,mean,r2,0.4485
