epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.7829
1,2026,size,1,r2,0.4363
1,2026,size,2,r2,0.3971
1,2026,size,3,r2,0.5966
1,2026,size,4,r2,0.6676
1,2026,size,mean,r2,0.5761
2,2026,size,0,r2,0.7857
2,2026,size,1,r2,0.4811
2,2026,size,2,r2,0.4363
2,2026,size,3,r2,0.6028
2,2026,size,4,r2,0.675
2,2026,size,mean,r2,0.5962
3,2026,size,0,r2,0.8051
3,2026,size,1,r2,0.508
3,2026,size,2,r2,0.447
3,2026,size,3,r2,0.619
3,2026,size,4,r2,0.6989
3,2026,size,mean,r2,0.6156
4,2026,size,0,r2,0.8041
4,2026,size,1,r2,0.5073
4,2026,size,2,r2,0.4616
4,2026,size,3,r2,0.6221
4,2026,size,4,r2,0.705
4,2026,size,mean,r2,0.62
5,2026,size,0,r2,0.791
5,2026,size,1,r2,0.519
5,2026,size,2,r2,0.4615
5,2026,size,3,r2,0.6172
5,2026,size,4,r2,0.6946
5,2026,size,mean,r2,0.6167
6,2026,size,0,r2,0.8128
6,2026,size,1,r2,0.5346
6,2026,size,2,r2,0.4863
6,2026,size,3,r2,0.6246
6,2026,size,4,r2,0.7023
6,2026,size,mean,r2,0.6321
7,2026,size,0,r2,0.8189
7,2026,size,1,r2,0.5435
7,2026,size,2,r2,0.4893
7,2026,size,3,r2,0.6422
7,2026,size,4,r2,0.7067
7,2026,size,mean,r2,0.6401
8,2026,size,0,r2,0.8012
8,2026,size,1,r2,0.5085
8,2026,size,2,r2,0.4761
8,2026,size,3,r2,0.6309
8,2026,size,4,r2,0.7017
8,2026,size,mean,r2,0.6237
9,2026,size,0,r2,0.8227
9,2026,size,1,r2,0.5465
9,2026,size,2,r2,0.4981
9,2026,size,3,r2,0.6324
9,2026,size,4,r2,0.7108
9,2026,size,mean,r2,0.6421
10,2026,size,0,r2,0.8137
10,2026,size,1,r2,0.5332
10,2026,size,2,r2,0.4184
10,2026,size,3,r2,0.6271
10,2026,size,4,r2,0.7064
10,2026,size,mean,r2,0.6198
1,2027,size,0,r2,0.773
1,2027,size,1,r2,0.4777
1,2027,size,2,r2,0.4283
1,2027,size,3,r2,0.5881
1,2027,size,4,r2,0.681
1,2027,size,mean,r2,0.5896
2,2027,size,0,r2,0.7961
2,2027,size,1,r2,0.4843
2,2027,size,2,r2,0.445
2,2027,size,3,r2,0.629
2,2027,size,4,r2,0.7068
2,2027,size,mean,r2,0.6122
3,2027,size,0,r2,0.8081
3,2027,size,1,r2,0.5156
3,2027,size,2,r2,0.4682
3,2027,size,3,r2,0.6242
3,2027,size,4,r2,0.6878
3,2027,size,mean,r2,0.6208
4,2027,size,0,r2,0.7814
4,2027,size,1,r2,0.5104
4,2027,size,2,r2,0.4739
4,2027,size,3,r2,0.6333
4,2027,size,4,r2,0.7004
4,2027,size,mean,r2,0.6199
5,2027,size,0,r2,0.7927
5,2027,size,1,r2,0.5318
5,2027,size,2,r2,0.4741
5,2027,size,3,r2,0.6297
5,2027,size,4,r2,0.7161
5,2027,size,mean,r2,0.6289
6,2027,size,0,r2,0.8088
6,2027,size,1,r2,0.5224
6,2027,size,2,r2,0.4806
6,2027,size,3,r2,0.6412
6,2027,size,4,r2,0.713
6,2027,size,mean,r2,0.6332
7,2027,size,0,r2,0.8169
7,2027,size,1,r2,0.5334
7,2027,size,2,r2,0.4812
7,2027,size,3,r2,0.6397
7,2027,size,4,r2,0.7127
7,2027,size,mean,r2,0.6368
8,2027,size,0,r2,0.8124
8,2027,size,1,r2,0.5305
8,2027,size,2,r2,0.4708
8,2027,size,3,r2,0.6286
8,2027,size,4,r2,0.7066
8,2027,size,mean,r2,0.6298
9,2027,size,0,r2,0.8199
9,2027,size,1,r2,0.5202
9,2027,size,2,r2,0.4627
9,2027,size,3,r2,0.6323
9,2027,size,4,r2,0.7195
9,2027,size,mean,r2,0.6309
10,2027,size,0,r2,0.8024
10,2027,size,1,r2,0.5044
10,2027,size,2,r2,0.4795
10,2027,size,3,r2,0.5892
10,2027,size,4,r2,0.7193
10,2027,size,mean,r2,0.6189
