epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.9183
1,2026,disease,Arterial wall calcification,auroc,0.93
1,2026,disease,Cardiomegaly,auroc,0.9197
1,2026,disease,Pericardial effusion,auroc,0.8494
1,2026,disease,Coronary artery wall calcification,auroc,0.93
1,2026,disease,Hiatal hernia,auroc,0.7009
1,2026,disease,Lymphadenopathy,auroc,0.735
1,2026,disease,Emphysema,auroc,0.8028
1,2026,disease,Atelectasis,auroc,0.807
1,2026,disease,Lung nodule,auroc,0.7371
1,2026,disease,Lung opacity,auroc,0.8702
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.7421
1,2026,disease,Pleural effusion,auroc,0.9682
1,2026,disease,Mosaic attenuation pattern,auroc,0.8674
1,2026,disease,Peribronchial thickening,auroc,0.8051
1,2026,disease,Consolidation,auroc,0.9232
1,2026,disease,Bronchiectasis,auroc,0.7764
1,2026,disease,Interlobular septal thickening,auroc,0.876
1,2026,disease,macro,auroc,0.8422
1,2026,disease,micro,auroc,0.8529
2,2026,disease,Medical material,auroc,0.9162
2,2026,disease,Arterial wall calcification,auroc,0.9304
2,2026,disease,Cardiomegaly,auroc,0.9247
2,2026,disease,Pericardial effusion,auroc,0.8471
2,2026,disease,Coronary artery wall calcification,auroc,0.934
2,2026,disease,Hiatal hernia,auroc,0.7037
2,2026,disease,Lymphadenopathy,auroc,0.7484
2,2026,disease,Emphysema,auroc,0.8024
2,2026,disease,Atelectasis,auroc,0.813
2,2026,disease,Lung nodule,auroc,0.7375
2,2026,disease,Lung opacity,auroc,0.8709
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.7318
2,2026,disease,Pleural effusion,auroc,0.9706
2,2026,disease,Mosaic attenuation pattern,auroc,0.8826
2,2026,disease,Peribronchial thickening,auroc,0.8027
2,2026,disease,Consolidation,auroc,0.9274
2,2026,disease,Bronchiectasis,auroc,0.79
2,2026,disease,Interlobular septal thickening,auroc,0.8725
2,2026,disease,macro,auroc,0.8448
2,2026,disease,micro,auroc,0.856
3,2026,disease,Medical material,auroc,0.9202
3,2026,disease,Arterial wall calcification,auroc,0.9281
3,2026,disease,Cardiomegaly,auroc,0.9203
3,2026,disease,Pericardial effusion,auroc,0.8501
3,2026,disease,Coronary artery wall calcification,auroc,0.9329
3,2026,disease,Hiatal hernia,auroc,0.7029
3,2026,disease,Lymphadenopathy,auroc,0.7492
3,2026,disease,Emphysema,auroc,0.7983
3,2026,disease,Atelectasis,auroc,0.8078
3,2026,disease,Lung nodule,auroc,0.7333
3,2026,disease,Lung opacity,auroc,0.8727
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.7335
3,2026,disease,Pleural effusion,auroc,0.9671
3,2026,disease,Mosaic attenuation pattern,auroc,0.8773
3,2026,disease,Peribronchial thickening,auroc,0.8013
3,2026,disease,Consolidation,auroc,0.9253
3,2026,disease,Bronchiectasis,auroc,0.7926
3,2026,disease,Interlobular septal thickening,auroc,0.8745
3,2026,disease,macro,auroc,0.8438
3,2026,disease,micro,auroc,0.8508
4,2026,disease,Medical material,auroc,0.9244
4,2026,disease,Arterial wall calcification,auroc,0.9318
4,2026,disease,Cardiomegaly,auroc,0.9282
4,2026,disease,Pericardial effusion,auroc,0.8559
4,2026,disease,Coronary artery wall calcification,auroc,0.9342
4,2026,disease,Hiatal hernia,auroc,0.7083
4,2026,disease,Lymphadenopathy,auroc,0.749
4,2026,disease,Emphysema,auroc,0.8015
4,2026,disease,Atelectasis,auroc,0.8086
4,2026,disease,Lung nodule,auroc,0.7397
4,2026,disease,Lung opacity,auroc,0.8695
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.7424
4,2026,disease,Pleural effusion,auroc,0.9692
4,2026,disease,Mosaic attenuation pattern,auroc,0.8822
4,2026,disease,Peribronchial thickening,auroc,0.8051
