epoch,seed,family,target,metric,score
1,2026,size_merlin,0,r2,0.0
1,2026,size_merlin,1,r2,-0.001
1,2026,size_merlin,2,r2,0.0072
1,2026,size_merlin,3,r2,0.0013
1,2026,size_merlin,4,r2,0.0045
1,2026,size_merlin,5,r2,0.0002
1,2026,size_merlin,mean,r2,0.002
2,2026,size_merlin,0,r2,0.0241
2,2026,size_merlin,1,r2,0.0105
2,2026,size_merlin,2,r2,0.0497
2,2026,size_merlin,3,r2,0.0014
2,2026,size_merlin,4,r2,0.0455
2,2026,size_merlin,5,r2,0.0059
2,2026,size_merlin,mean,r2,0.0228
3,2026,size_merlin,0,r2,0.0421
3,2026,size_merlin,1,r2,0.0158
3,2026,size_merlin,2,r2,0.106
3,2026,size_merlin,3,r2,0.0102
3,2026,size_merlin,4,r2,0.0747
3,2026,size_merlin,5,r2,0.0104
3,2026,size_merlin,mean,r2,0.0432
4,2026,size_merlin,0,r2,0.0832
4,2026,size_merlin,1,r2,0.0315
4,2026,size_merlin,2,r2,0.1596
4,2026,size_merlin,3,r2,0.0098
4,2026,size_merlin,4,r2,0.1232
4,2026,size_merlin,5,r2,0.0165
4,2026,size_merlin,mean,r2,0.0706
5,2026,size_merlin,0,r2,0.1198
5,2026,size_merlin,1,r2,0.0455
5,2026,size_merlin,2,r2,0.1999
5,2026,size_merlin,3,r2,0.0083
5,2026,size_merlin,4,r2,0.1596
5,2026,size_merlin,5,r2,0.0187
5,2026,size_merlin,mean,r2,0.092
6,2026,size_merlin,0,r2,0.1422
6,2026,size_merlin,1,r2,0.0563
6,2026,size_merlin,2,r2,0.2264
6,2026,size_merlin,3,r2,0.0111
6,2026,size_merlin,4,r2,0.1634
6,2026,size_merlin,5,r2,0.0184
6,2026,size_merlin,mean,r2,0.103
7,2026,size_merlin,0,r2,0.1576
7,2026,size_merlin,1,r2,0.0645
7,2026,size_merlin,2,r2,0.2421
7,2026,size_merlin,3,r2,0.0128
7,2026,size_merlin,4,r2,0.1598
7,2026,size_merlin,5,r2,0.0156
7,2026,size_merlin,mean,r2,0.1087
8,2026,size_merlin,0,r2,0.1384
8,2026,size_merlin,1,r2,0.0559
8,2026,size_merlin,2,r2,0.2347
8,2026,size_merlin,3,r2,0.0182
8,2026,size_merlin,4,r2,0.1275
8,2026,size_merlin,5,r2,0.0131
8,2026,size_merlin,mean,r2,0.098
9,2026,size_merlin,0,r2,0.1819
9,2026,size_merlin,1,r2,0.0784
9,2026,size_merlin,2,r2,0.292
9,2026,size_merlin,3,r2,0.0254
9,2026,size_merlin,4,r2,0.1492
9,2026,size_merlin,5,r2,0.0147
9,2026,size_merlin,mean,r2,0.1236
10,2026,size_merlin,0,r2,0.1799
10,2026,size_merlin,1,r2,0.0814
10,2026,size_merlin,2,r2,0.2964
10,2026,size_merlin,3,r2,0.0354
10,2026,size_merlin,4,r2,0.1306
10,2026,size_merlin,5,r2,0.0132
10,2026,size_merlin,mean,r2,0.1228
1,2027,size_merlin,0,r2,-0.0014
1,2027,size_merlin,1,r2,-0.003
1,2027,size_merlin,2,r2,-0.0025
1,2027,size_merlin,3,r2,-0.0008
1,2027,size_merlin,4,r2,-0.0008
1,2027,size_merlin,5,r2,-0.0031
1,2027,size_merlin,mean,r2,-0.0019
2,2027,size_merlin,0,r2,-0.0008
2,2027,size_merlin,1,r2,-0.0011
2,2027,size_merlin,2,r2,-0.0009
2,2027,size_merlin,3,r2,-0.0016
2,2027,size_merlin,4,r2,-0.0006
2,2027,size_merlin,5,r2,-0.0017
2,2027,size_merlin,mean,r2,-0.0011
3,2027,size_merlin,0,r2,-0.0006
3,2027,size_merlin,1,r2,-0.0007
3,2027,size_merlin,2,r2,-0.0007
3,2027,size_merlin,3,r2,-0.0021
3,2027,size_merlin,4,r2,-0.0005
3,2027,size_merlin,5,r2,-0.0015
3,2027,size_merlin,mean,r2,-0.001
4,2027,size_merlin,0,r2,-0.0006
4,2027,size_merlin,1,r2,-0.0006
4,2027,size_merlin,2,r2,-0.0007
4,2027,size_merlin,3,r2,-0.0022
4,2027,size_merlin,4,r2,-0.0006
4,2027,size_merlin,5,r2,-0.0016
4,2027,size_merlin,mean,r2,-0.0011
5,2027,size_merlin,0,r2,-0.0005
5,2027,size_merlin,1,r2,-0.0005
5,2027,size_merlin,2,r2,-0.0011
